,Pos,Salary,Age,Team,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Conference,Division,FG&
0,PF,2711280.0,21.0,MIA,61.0,4.0,12.1,2.0,3.7,0.544,0.0,0.0,0.0,2.0,3.7,0.546,0.544,0.9,1.8,0.509,1.2,2.2,3.4,0.5,0.6340579710144928,0.5,0.7,1.5,5.0,Eastern Conference,Southeast Division,0.544
1,PG,9100448.459183674,24.0,ORL,7.0,0.0,2.6,0.1,1.1,0.125,0.0,0.3,0.0,0.1,0.9,0.167,0.125,0.0,0.0,0.754476923076923,0.0,0.4,0.4,0.3,0.0,0.0,0.0,0.1,0.3,Eastern Conference,Central Division,0.125
2,C,17073171.0,27.0,ORL,58.0,58.0,27.7,3.3,5.3,,0.9538461538461539,2.7007246376811596,0.0,3.3,5.3,0.62,0.614,1.0,2.3,0.754476923076923,3.7,5.2,8.9,1.9,0.9,0.7,1.3,1.9,7.6,Western Conference,Southwest Division,0.4327323943661972
3,C,28103550.0,23.0,MIA,64.0,64.0,33.5,7.1,12.5,0.57,0.0,0.1,0.25,7.1,12.4,0.573,0.571,4.4,1.8856115107913671,0.799,2.2,6.7,9.0,5.4,1.2,1.0,2.6,2.3,18.7,Eastern Conference,Southeast Division,0.57
4,C,2641691.0,35.0,SAS,21.0,18.0,25.9,5.5,11.8,0.464,0.9538461538461539,3.6,0.36,4.2,8.2,0.509,0.5006492537313433,1.5,1.8,0.838,0.8,3.7,4.5,1.7,0.4,0.9,1.0654676258992806,1.7,8.87410071942446,Western Conference,Southwest Division,0.464
5,SG,3261480.0,25.872340425531913,NOP,46.0,13.0,21.9,4.2,10.0,0.419,1.7,2.7007246376811596,0.347,2.5,5.2,0.485,0.5006492537313433,1.0,1.4,0.727,0.3,2.8,3.1,1.7468965517241377,1.0,0.5,1.5,1.9,11.0,Western Conference,Southwest Division,0.419
6,SG,4054695.0,25.872340425531913,MEM,50.0,38.0,25.2,3.5,7.287769784172662,0.418,2.1,5.5,0.391,1.3,2.8,0.471,0.547,1.6,1.8,0.754476923076923,0.4,2.8,3.2,2.2,0.9,0.2,1.0654676258992806,1.4,10.6,Western Conference,Southwest Division,0.418
7,C,20000000.0,22.0,CLE,51.0,40.0,30.3,5.0,8.2,0.609,0.1,0.4,0.316,4.9,7.8,0.49312408759124093,0.616,3.1,4.5,0.69,0.974468085106383,6.8,3.972413793103448,1.7,0.6340579710144928,1.4,1.5,1.5,13.2,Eastern Conference,Central Division,0.609
8,PF,9100448.459183674,30.0,ORL,17.0,14.0,21.6,2.1,7.287769784172662,0.404,0.4,1.8,0.226,1.7,3.4,0.5,0.444,0.8,1.0,0.824,1.2,4.2,5.4,1.7,1.0,0.5,1.5,1.6391304347826086,5.5,Eastern Conference,Southeast Division,0.404
9,SF,9100448.459183674,30.0,ORL,6.0,0.0,11.2,0.3,1.7,0.2,0.9538461538461539,1.0,0.167,0.2,0.7,0.25,0.25,0.7,0.8,0.8,0.3,2.8,3.2,0.3,0.3,0.0,0.5,1.2,1.5,Eastern Conference,Central Division,0.2
